,Encoder,Experiment,Generator,Number,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
0,OpenClip,IDDPM,StyleGAN,no,0.9139999747276306,0.8924869298934937,0.9379345178604126,0.9645683169364929,0.9128508567810059,0.8038136959075928,0.4232020080089569,0.9141224026679993,0.0620654821395874,0.10751307010650635
1,OpenClip,IDDPM,ADM,no,0.8479999899864197,0.7711347937583923,0.9219821691513062,0.9394023418426514,0.7761565446853638,0.6746448874473572,0.37498632073402405,0.8394076824188232,0.07801783084869385,0.22886520624160767
2,OpenClip,IDDPM,Diff-ProjectedGAN,no,0.9419999718666077,0.9474167823791504,0.941028892993927,0.9889706969261169,0.9762129783630371,0.9366772174835205,0.6105661392211914,0.9440150856971741,0.058971107006073,0.05258321762084961
3,OpenClip,IDDPM,Diff-StyleGAN2,no,0.8930000066757202,0.8675354719161987,0.9167653918266296,0.9631301164627075,0.8633469939231873,0.7635470628738403,0.5634644627571106,0.8911401629447937,0.08323460817337036,0.13246452808380127
4,OpenClip,IDDPM,IDDPM,no,0.9279999732971191,0.9448846578598022,0.9190227389335632,0.9810325503349304,0.9462676048278809,0.8629989624023438,0.6349460482597351,0.931307315826416,0.08097726106643677,0.055115342140197754
5,OpenClip,IDDPM,ProjectedGAN,no,0.953000009059906,0.9763341546058655,0.9352848529815674,0.9891021251678467,0.9692631959915161,0.9197641015052795,0.6696293354034424,0.9551361203193665,0.06471514701843262,0.02366584539413452
6,OpenClip,IDDPM,ProGAN,no,0.9649999737739563,0.9977543950080872,0.9386240839958191,0.9990896582603455,0.9979682564735413,0.993894100189209,0.8668572306632996,0.967021107673645,0.06137591600418091,0.002245604991912842
7,OpenClip,IDDPM,coco,no,0.5709999799728394,0.2980984151363373,0.6129282712936401,0.6097450852394104,0.17757566273212433,0.09893430769443512,0.04360876977443695,0.3993972837924957,0.38707172870635986,0.7019015848636627
8,OpenClip,IDDPM,PNDM,no,0.8920000195503235,0.8719596266746521,0.9150291681289673,0.9583374857902527,0.8540353178977966,0.7361829280853271,0.5910453200340271,0.8920789361000061,0.08497083187103271,0.1280403733253479
9,OpenClip,IDDPM,DDPM,no,0.9259999990463257,0.9241423606872559,0.9353518486022949,0.9828971028327942,0.9443012475967407,0.8829799294471741,0.6562240123748779,0.9292387366294861,0.06464815139770508,0.07585763931274414
10,OpenClip,IDDPM,LDM,no,0.921999990940094,0.9047912359237671,0.940483808517456,0.9808781743049622,0.9360955357551575,0.8636187314987183,0.6706416010856628,0.921782374382019,0.059516191482543945,0.09520876407623291
11,OpenClip,Diff-ProjectedGAN,StyleGAN,no,0.8379999995231628,0.6881030201911926,1.0,0.9946740865707397,0.982617974281311,0.9608191251754761,0.7946073412895203,0.8145730495452881,0.0,0.3118969798088074
12,OpenClip,Diff-ProjectedGAN,ADM,no,0.5479999780654907,0.13113050162792206,0.9537777900695801,0.8698586225509644,0.6288661360740662,0.4134962856769562,0.18193072080612183,0.2297430783510208,0.04622220993041992,0.8688694983720779
13,OpenClip,Diff-ProjectedGAN,Diff-ProjectedGAN,no,0.9850000143051147,0.9766614437103271,0.9938709735870361,0.998812198638916,1.0,0.9959365129470825,0.828233540058136,0.9851871132850647,0.006129026412963867,0.02333855628967285
14,OpenClip,Diff-ProjectedGAN,Diff-StyleGAN2,no,0.9200000166893005,0.8476538062095642,0.995299220085144,0.9965354204177856,0.9923758506774902,0.9800564646720886,0.8029485940933228,0.9152396321296692,0.004700779914855957,0.1523461937904358
15,OpenClip,Diff-ProjectedGAN,IDDPM,no,0.6269999742507935,0.28272631764411926,0.9786666631698608,0.9262068867683411,0.7665146589279175,0.6105543375015259,0.3045930564403534,0.4363674223423004,0.02133333683013916,0.7172736823558807
16,OpenClip,Diff-ProjectedGAN,ProjectedGAN,no,0.9950000047683716,0.9941704869270325,0.9961436986923218,0.9997662901878357,1.0,1.0,0.8878730535507202,0.9951348304748535,0.0038563013076782227,0.005829513072967529
17,OpenClip,Diff-ProjectedGAN,ProGAN,no,0.9980000257492065,0.9960859417915344,1.0,0.9999062418937683,1.0,0.9979682564735413,0.8939682841300964,0.9980279207229614,0.0,0.003914058208465576
18,OpenClip,Diff-ProjectedGAN,coco,no,0.4690000116825104,0.2359084188938141,0.41375088691711426,0.43833863735198975,0.08282745629549026,0.040578532963991165,0.010202046483755112,0.2990919053554535,0.5862491130828857,0.7640915811061859
19,OpenClip,Diff-ProjectedGAN,PNDM,no,0.7839999794960022,0.5846052765846252,0.9925781488418579,0.964318037033081,0.9013386368751526,0.7968300580978394,0.5260454416275024,0.7352286577224731,0.00742185115814209,0.41539472341537476
20,OpenClip,Diff-ProjectedGAN,DDPM,no,0.5989999771118164,0.22559107840061188,0.9871678948402405,0.926676869392395,0.7509208917617798,0.616760790348053,0.3678700625896454,0.3646245300769806,0.012832105159759521,0.7744089215993881
21,OpenClip,Diff-ProjectedGAN,LDM,no,0.8320000171661377,0.6746264696121216,0.9976296424865723,0.986750602722168,0.9670307040214539,0.9449030160903931,0.7479053139686584,0.8037099838256836,0.0023703575134277344,0.3253735303878784
22,OpenClip,LDM,StyleGAN,no,0.8059999942779541,0.6267052888870239,1.0,0.9886823892593384,0.9686345458030701,0.8970648050308228,0.6961928606033325,0.7690935730934143,0.0,0.3732947111129761
23,OpenClip,LDM,ADM,no,0.5569999814033508,0.14795106649398804,0.9695237874984741,0.8626439571380615,0.6115238666534424,0.4412204623222351,0.19995824992656708,0.25520607829093933,0.03047621250152588,0.852048933506012
24,OpenClip,LDM,Diff-ProjectedGAN,no,0.9670000076293945,0.9423021078109741,0.9938392043113708,0.9979352355003357,0.9980307817459106,0.9899663329124451,0.810495913028717,0.9672608971595764,0.00616079568862915,0.05769789218902588
